創世記 1 1| 源起頭上帝創造天kap地。
民數記 22 14| Mô͘-ap ê首領就起來，tò去Pa-le̍k hia，講：Pa-lân m̄肯kap阮來。
民數記 22 15| Pa-le̍k koh差首領，比前khah-chōe，khah尊貴ê。
民數記 22 16| In到Pa-lân hia，對伊講，Se-phoat ê kiáⁿ Pa-le̍k án-ni講：求你m̄-thang hō͘甚麼tāi-chì阻擋你無來我chia。
民數記 22 17| 因為我beh hō͘你得tio̍h極大ê尊貴；見若你對我講甚麼，我beh照án-ni行；所以請你來，kā我咒詛chit-ê百姓。
民數記 22 18| Pa-lân對Pa-le̍k chiah-ê人臣講：Pa-le̍k就若用滿厝ê金銀hō͘我，我也m̄敢pôaⁿ過我ê上帝ê命令，來加減行。
民數記 22 19| 請lín今暝koh歇chia，thèng候我知耶和華koh kā我講甚麼。
民數記 22 20| Hit暝上帝臨到Pa-lân hia講：chiah-ê人若來叫你，你就起來kap伊去；總是我所beh kā你講ê，你tio̍h遵thàn。
民數記 22 21| Pa-lân早起起來，備辦驢；kap Mô͘-ap ê首領相kap去。
民數記 22 22| 上帝，因為伊去，就受氣；耶和華ê使者khiā tī路裡來抵敵伊；伊騎驢，兩個奴僕跟tè伊。
民數記 22 23| 驢看見耶和華ê使者khiā tī路裡，手裡拔刀；驢就tùi路裡閃入園；Pa-lân就phah驢beh hō͘伊歸原路。
民數記 22 24| 耶和華ê使者就khiā tī葡萄園ê 狹路，chit-pêng有牆，hit-pêng也有牆。
民數記 22 25| 驢看見耶和華ê使者，就閃óa hit-ê牆，khoeh Pa-lân ê腳tī牆裡；Pa-lân就koh phah伊。
民數記 22 26| 耶和華ê使者koh進前去，khiā tī狹狹ê所在，雙pêng無路thang oat。
民數記 22 27| 驢看見耶和華ê使者，就仆tī Pa-lân ê下底，Pa-lân發受氣，用柺á phah驢。
民數記 22 28| 耶和華開驢ê嘴，驢對Pa-lân講：我對你做甚麼，你竟然phah我chit三pái ah？
民數記 22 29| Pa-lân對驢講：因為你戲弄我；我恨手裡無刀；有，就kā你thâi死。
民數記 22 30| 驢對Pa-lân講：我kiám m̄是你ê驢，你一生所騎ê mah？我平素bat對你án-ni行mah？Pa-lân講：無。
民數記 22 31| Hit時耶和華開Pa-lân ê目睭，伊就看見耶和華ê使者khiā tī路裡，手拔刀；Pa-lân就àⁿ頭仆tī地裡。
民數記 22 32| 耶和華ê使者對伊講，你啥事chit三pái phah你ê驢ah？看ah，我出來抵敵你，因為你tī我ê面前所行ê，是悖逆。
民數記 22 33| 驢看見我，就閃避我chit三pái；設使驢無閃避我，我已經thâi死你，hō͘驢活teh。
民數記 22 34| Pa-lân tùi耶和華ê使者講：我有犯罪lah，我m̄知你khiā tī路裡阻擋我；你若無歡喜我去，我就倒tńg去。
民數記 22 35| 耶和華ê使者對Pa-lân講：你kap chiah-ê人去；總是你只有thang講我所beh對你講ê。Pa-lân就kap Pa-le̍k ê首領相kap去。
民數記 22 36| Pa-le̍k聽見Pa-lân來，就去Mô͘-ap城迎接伊；chit-ê城是tī邊界ê極頭，tī A-lùn ê邊頭。
民數記 22 37| Pa-le̍k對Pa-lân講：我kiám m̄是切切差人到你hia去叫你mah？你啥事無來我chia ah？我kiám無真正能hō͘你尊貴mah？
民數記 22 38| Pa-lân應Pa-le̍k講：我taⁿ來到你chia，我kiám有權能講甚麼ah？上帝用甚麼話交代我，我就講。
民數記 22 39| Pa-lân kap Pa-le̍k相kap行，來到Ki-lia̍t-ô͘-só。
民數記 22 40| Pa-le̍k thâi牛羊獻祭，就送hō͘ Pa-lân以及kap伊tī-teh ê首領。
民數記 22 41| 到隔早起，Pa-le̍k chhōa Pa-lân到Pa-le̍k ê高位；Pa-lân tùi hia看以色列百姓極頭ê所在。
民數記 23 1| Pa-lân對Pa-le̍k講：你tī-chia kā我起七座壇，kā我備辦七隻牛káng，七隻羊káng。
民數記 23 2| Pa-le̍k照Pa-lân ê話來行；Pa-le̍k kap Pa-lân tī ta̍k座ê壇，獻一隻牛káng，一隻羊káng。
民數記 23 3| Pa-lân對Pa-le̍k講：你khiā tī你燒祭ê邊頭，我請進前去，kiám-chhái耶和華來tú-tio̍h我；祂指示我甚麼，我beh kā你講。Pa-lân就上去無草木ê山。
民數記 23 4| 上帝tú-tio̍h Pa-lân，Pa-lân對祂講，我已經備辦七座壇，tī ta̍k座壇獻一隻牛káng，一隻羊káng。
民數記 23 5| 耶和華用話交代Pa-lân，koh kā伊講，你tò去Pa-le̍k hia，tio̍h án-ni kā伊講。
民數記 23 6| 伊就tò去Pa-le̍k hia；看見伊kap Mô͘-ap ê首領，lóng khiā tī伊燒祭ê邊á。
民數記 23 7| Pa-lân就提起伊ê 歌，講：	Pa-le̍k chhōa我tùi A-lân來，	Mô͘-ap王chhōa我出東pêng ê山，講：	來ah，kā我咒詛雅各，	來ah，咒罵以色列。
民數記 23 8| 上帝無咒詛ê，我thái會咒詛？	耶和華無咒罵ê，我thái會咒罵？
民數記 23 9| 因為我tùi chiah-ê山巖看伊，	Koh tùi山尾溜觀看，	看ah，chit-ê百姓beh家己khiā起。	無列tī chiah-ê國ê中間。
民數記 23 10| Chī-chūi能數(siàu)雅各ê土沙？	Chī-chūi能算以色列ê四份一？	我願親像義人ê死來死，	也親像伊ê結局來結局。
民數記 23 11| Pa-le̍k對Pa-lân講：你對我做ê是甚麼ah？我叫你來咒詛我ê對敵，看ah，你lóng是kā in祝福。
民數記 23 12| 伊應講，耶和華所交代我ê話，我kiám m̄-tio̍h謹慎來講mah？
民數記 23 13| Pa-le̍k對伊講，求你kap我去別位，tī-hia thang看見in，你只有能看見in ê一角頭，bōe能lóng總看見；tī-hia tio̍h kā我咒詛in。
民數記 23 14| Tùi hit-tia̍p chhōa伊到Só-hui ê山野，上Pî-su-ka ê山頭，起七座壇，ta̍k座壇獻一隻牛káng，一隻羊káng。
民數記 23 15| Pa-lân對Pa-le̍k講：你tòa chia，khiā tī你燒祭ê邊á，thèng候我去hia見耶和華。
民數記 23 16| 耶和華tú-tio̍h Pa-lân，用話交代伊，koh講：你tò去Pa-le̍k hia，tio̍h án-ni講。
民數記 23 17| 伊就tò去Pa-le̍k hia，看見伊khiā tī燒祭ê邊á，Mô͘-ap ê首領也kap伊tī-hia。Pa-le̍k問伊講：耶和華講甚麼話ah？
民數記 23 18| Pa-lân就提起伊ê歌，講：	Pa-le̍k ah，起來聽；	Se-phoat ê kiáⁿ，你àⁿ耳孔來聽我；
民數記 23 19| 上帝m̄是親像人，會講白賊，	也m̄是人ê kiáⁿ，會退悔；	伊已經講：kiám無行mah？	伊講出，kiám無應驗mah？
民數記 23 20| 看ah，我奉命祝福，	祂所應允ê福氣，我bōe kā祂péng-倒tńg。
民數記 23 21| 伊無看見雅各有過失，	Tī以色列無看見有奸惡，	耶和華伊ê上帝kap伊tī-teh；	Tī in中間有o-ló王ê聲。
民數記 23 22| 上帝chhōa in出埃及；	In親像有野牛ê力。
民數記 23 23| 雅各中決斷無法術，	以色列中也無占卜；	到時論起雅各kap以色列beh講：	上帝行hiah-ni̍h大ê事！
民數記 23 24| 看ah，chit-ê百姓起來親像母ê獅，	挺身親像公ê獅；	iáu未食所la̍k-tio̍h ê物，	iáu未lim受咬死ê ê血，	決斷無倒teh。
民數記 23 25| Pa-le̍k對Pa-lân講：你lóng m̄-thang咒詛in，也m̄-thang kā in祝福。
民數記 23 26| Pa-lân 應Pa-le̍k講：我kiám無kā你講，見若耶和華所講ê，我beh遵thàn mah？
民數記 23 27| Pa-le̍k對Pa-lân講：來ah，我chhōa你去別所在，kiám-chhái上帝歡喜你tī-hia kā我咒詛in。
民數記 23 28| Pa-le̍k就chhōa Pa-lân到hit-ê看落低(kē)，能看見曠野ê Pî-jíⁿ ê山尖。
民數記 23 29| Pa-lân對Pa-le̍k講：你tī-chia kā我起七座壇，koh tī-chia kā我備辦七隻牛káng，七隻羊káng。
民數記 23 30| Pa-le̍k就照Pa-lân ê話行，tī ta̍k座壇獻一隻牛káng，一隻羊káng。
民數記 24 1| Pa-lân看見耶和華歡喜賜福hō͘以色列，就無親像éng-pái去chhē法術，是面ǹg曠野。
民數記 24 2| Pa-lân kia̍h目，看見以色列人照支派khiā起，上帝ê神就臨到伊。
民數記 24 3| 伊就提起伊ê歌，講：	Pí-jíⁿ ê kiáⁿ Pa-lân講：	目睭合teh ê人講；
民數記 24 4| 聽見上帝ê話，	看見全能ê ê異象，	目睭thí開倒teh ê人講；
民數記 24 5| 雅各ah，你ê布棚怎樣hiah súi！	以色列ah，你ê帳房怎樣hiah好看！
民數記 24 6| 親像相連續ê山谷，	親像河邊ê園，	親像耶和華所知ê沉香樹，	親像水邊ê柏香樹。
民數記 24 7| 水beh tùi伊ê桶流出，	種子beh也tī chōe-chōe水ê所在，	伊ê王beh pôaⁿ過A-kah，	伊ê國beh興起。
民數記 24 8| 上帝chhōa伊出埃及，	伊親像有野牛ê力；	伊beh吞食對敵ê國，	at折in ê骨頭；	用箭射in，到thàng過。
民數記 24 9| 伊撐腳，koh倒teh親像公ê獅，	也親像母ê獅；	Chī-chūi敢惹tio̍h伊?	見若祝福你ê，願伊受祝福，	見若咒詛你ê，願伊受咒詛。
民數記 24 10| Pa-le̍k大受氣Pa-lân，就搭手；Pa-le̍k koh kā Pa-lân講：我叫你來咒詛我ê對敵，你竟然專專祝福in，到chit三pái。
民數記 24 11| Taⁿ你走去本所在，我本想beh hō͘你得tio̍h大尊貴，但是耶和華阻擋，hō͘你無得tio̍h尊貴。
民數記 24 12| Pa-lân對Pa-le̍k講：我kiám無對你所差到我hia ê使者講：
民數記 24 13| Pa-le̍k就若將伊滿厝ê金銀hō͘我，我也bōe得pôaⁿ過耶和華ê命令，pîn家己ê心來做好做pháiⁿ；耶和華所講ê，我就講伊。
民數記 24 14| 看ah，taⁿ我beh tò去本族；你來，我kā你講，chiah-ê百姓日後beh怎樣款待你ê百姓。
民數記 24 15| 伊就提起伊ê歌，講：	Pí-jíⁿ ê kiáⁿ Pa-lân講：	目睭合teh ê人講；
民數記 24 16| 聽見上帝ê話，	得tio̍h知至koân-ê ê知識，	看見全能ê ê異象，	目睭thí開，倒teh ê人講：
民數記 24 17| 我看伊，總是無tī現時，	我觀看伊，總是m̄是近近；	有一粒星beh tùi雅各出，	有一個權柄，beh tùi以色列興起，	Beh phah破Mô͘-ap ê邊角，	毀壞擾亂ê人。
民數記 24 18| Í-tong beh做業，	Se-jíⁿ也beh做業，hō͘伊ê對敵，	以色列beh行tāi-chì勇敢。
民數記 24 19| 有一位掌權ê beh tùi雅各出，	伊beh剿滅城中所留ê。
民數記 24 20| 伊koh看見A-má-le̍k，就提起伊ê歌，講：	A-má-le̍k本做chiah-ê國ê頭，	總是伊ê結局beh永永滅無。
民數記 24 21| 伊koh看Ki-nî人，就提起伊ê歌，講：	你khiā起ê所在是堅固，	你作siū tī山巖；
民數記 24 22| 總是Ki-nî beh致到衰微，	直到hō͘亞述掠你去。
民數記 24 23| 伊koh提起歌，講：	Ai-ah，上帝行chit-ê事ê時，	Chī-chūi能得tio̍h活？
民數記 24 24| Beh有船tùi Ki-thê hia來，	苦楚亞述，苦楚Hi-pek；	伊也beh永永滅無。
民數記 24 25| Pa-lân就起來，tò去伊本所在；Pa-le̍k也行伊ê路。
民數記 25 1| 以色列人tiàm tī Si̍p-têng，百姓就kap Mô͘-ap ê cha-bó͘-gín-á行淫亂。
民數記 25 2| In獻祭in ê上帝，請百姓來赴，百姓食in ê祭物，續跪拜in ê上帝。
民數記 25 3| 以色列人kap Pa-le̍k-pí-jíⁿ連合；耶和華就對以色列人發受氣。
民數記 25 4| 耶和華對摩西講：將百姓lóng總ê族長，當頭白日吊死tī耶和華ê面前，hō͘耶和華ê大受氣thang tùi以色列消無。
民數記 25 5| 摩西就對以色列ê審判官講：見若屬lín ê人，有kap Pa-le̍k-pí-jíⁿ連合ê lín tio̍h thâi死伊。
民數記 25 6| 摩西kap以色列會眾tú-á tī會幕門口teh哭ê時，忽然有以色列中一人，當in目睭前帶一個米甸ê婦人人到伊ê兄弟hia。
民數記 25 7| 祭司亞倫ê孫，Í-lī-a-sat ê kiáⁿ，Hui-nî-hap看見，就tùi會中起來，手裡 kia̍h鎗；
民數記 25 8| tè以色列人入亭á內，鑿死兩人，就是鑿透以色列人kap hit-ê婦人人ê腹肚；án-ni，tī以色列人ê中間瘟疫就soah。
民數記 25 9| Hit時tú-tio̍h瘟疫死ê，兩萬四千人。
民數記 25 10| 耶和華吩咐摩西講：
民數記 25 11| 祭司亞倫ê孫，Í-lī-a-sat ê kiáⁿ，Hui-nî-hap hō͘我所發ê受氣消無tī以色列人，因為伊tī in中間，用我ê妒忌做妒忌，hō͘我tī妒忌中無滅無in。
民數記 25 12| 所以你tio̍h講：看ah，我用我平安ê約賞賜伊；
民數記 25 13| beh做伊kap伊ê後裔永遠做祭司ê職ê約，因為伊為tio̍h伊ê上帝有妒忌ê心，koh為tio̍h以色列人贖罪。
民數記 25 14| hit-ê受thâi ê以色列人，就是kap米甸ê婦人人相kap受鑿死ê，名叫Sim-lī，是Sat-lō͘ ê kiáⁿ，是西門支派中一族ê首領。
民數記 25 15| Hit-ê受鑿死米甸ê婦人人名叫Ko-su-pí，是So͘-jíⁿ ê cha-bó͘-kiáⁿ；chit-ê So͘-jíⁿ是米甸ê百姓一族ê頭人。
民數記 25 16| 耶和華吩咐摩西講：
民數記 25 17| 你tio̍h窘迫米甸人，koh phah in；
民數記 25 18| 因為in用詭譎ê計謀窘迫lín，tī Pí-jíⁿ ê事，kap in ê姊妹，米甸首領ê cha-bó͘-kiáⁿ，Ko-su-pí ê事，用詭譎ê計謀引誘lín；chit-ê Ko-su-pí，當瘟疫流行ê日，因為Pí-jíⁿ ê事已經受鑿死。
民數記 26 1| 瘟疫了後，耶和華吩咐摩西kap祭司亞倫ê kiáⁿ Í-lī-a-sat講：
民數記 26 2| Lín tio̍h將以色列全會ê眾人，照in ê宗族，見若以色列中，tùi二十歲以上，能出去交戰ê，tio̍h算in ê總額。
民數記 26 3| 摩西kap祭司Í-lī-a-sat，tī Mô͘-ap ê平洋，約旦河邊，耶利哥相對ê所在，對in講，
民數記 26 4| Tùi二十歲以上算伊，照耶和華吩咐摩西以及出埃及地ê以色列人。
民數記 26 5| 以色列ê大kiáⁿ是Liû-piān；Liû-piān chiah-ê kiáⁿ；屬Hap-lo̍k ê，有Hap-lo̍k族；屬Hoat-lō͘ ê，有Hoat-lō͘族；
民數記 26 6| 屬Hi-su-lûn ê，有Hi-su-lûn族；屬Ka-bí ê，有Ka-bí族。
民數記 26 7| Chiah-ê就是Liû-piân ê ta̍k族；其中受算ê，共四萬三千七百三十名。
民數記 26 8| Hoat-lō͘ ê kiáⁿ是Í-lī-ap；
民數記 26 9| Í-lī-ap chiah-ê kiáⁿ是Nî-bó͘-lī、Tāi-tan、A-PÍ-lân；chit-ê Tāi-tan、A-PÍ-lân，就是tùi會中受揀ê；Khó-la̍h ê黨攻擊耶和華ê時，in也kap in攻擊摩西、亞倫。
民數記 26 10| Hit時地開嘴吞in，kap Khó-la̍h；in hit黨lóng死；也有火燒死兩百五十人，用in做鑑戒。
民數記 26 11| 總是Khó-la̍h chiah-ê kiáⁿ無死。
民數記 26 12| 西門chiah-ê kiáⁿ照家族；屬Nî-bó͘-lī ê，有Nî-bó͘-lī族；
民數記 26 13| 屬Ngá-bín ê，有Ngá-bín族；屬Ngá-kun ê，有Ngá-kun族；屬謝拉 ê，有謝拉族；屬掃羅ê，有掃羅族。
民數記 26 14| Chiah-ê是西門ê ta̍k族，共兩萬兩千兩百名。
民數記 26 15| Ka-tek chiah-ê kiáⁿ，照家族；屬Sé-hun ê，有Sé-hun族；屬Hap-ki ê，有Hap-ki族；屬Su-nî ê，有Su-nî族；
民數記 26 16| 屬A-su-nî ê，有A-su-nî族；屬Í-lī ê，有Í-lī族；
民數記 26 17| 屬A-lu̍t ê，有A-lu̍t族；屬A-lia̍t-lī ê，有A-lia̍t-lī族。
民數記 26 18| Chiah-ê是Ka-tek kiáⁿ孫ê ta̍k族；in所計算ê，共四萬連五百名。
民數記 26 19| 猶大ê kiáⁿ，Jíⁿ kap Gô-lâm；chit-ê Jíⁿ kap Gô-lâm死tī迦南地。
民數記 26 20| 猶大其餘chiah-ê kiáⁿ，照in ê家族；屬Sī-la̍h ê，有Sī-la̍h族；屬Hoat-le̍k-su ê，有Hoat-le̍k-su族；屬謝拉 ê，有謝拉族。
民數記 26 21| Hoat-le̍k-su ê kiáⁿ；屬Hi-su-lûn ê，有Hi-su-lûn族；屬Hap-bó͘-le̍k ê，有Hap-bó͘-le̍k族。
民數記 26 22| Chiah-ê是猶大ê ta̍k族；in計算ê，共七萬六千五百名。
民數記 26 23| Í-sat-ka ê kiáⁿ孫，照in ê宗族；屬Tô-la̍h ê，有Tô-la̍h族；屬Phó͘-óa ê，有Phó͘-óa族；
民數記 26 24| 屬Ngá-su̍t ê，有Ngá-su̍t族；屬Sin-lûn ê，有Sin-lûn族。
民數記 26 25| Chiah-ê是Í-sat-ka ê ta̍k族；in計算ê，共六萬四千三百名。
民數記 26 26| Se-pò͘-lûn ê kiáⁿ孫，照in ê宗族；屬Se-lia̍t ê，有Se-lia̍t族；屬Í-lûn ê，有Í-lûn族；屬Ngá-lī ê，有Ngá-lī族。
民數記 26 27| Chiah-ê是Se-pò͘-lûn ê ta̍k族；in計算ê，共六萬連五百名。
民數記 26 28| 約瑟ê kiáⁿ孫，照in ê宗族，有Má-ná-se，Í-hoat-liân。
民數記 26 29| Má-ná-se ê kiáⁿ孫；屬Má-kiat，有Má-kiat族；Má-kiat生Ki-lia̍t；屬Ki-lia̍t ê，有Ki-lia̍t族。
民數記 26 30| Chiah-ê是Ki-lia̍t ê kiáⁿ孫；屬I-í-siā ê，有I-í-siā族；屬Hi-le̍k ê，有Hi-le̍k族；
民數記 26 31| 屬A-su-lia̍t ê，有A-su-lia̍t族；屬示劍ê，有示劍族；
民數記 26 32| 屬Sī-bí-tāi ê，有Sī-bí-tāi族；屬Hi-hut ê，有Hi-hut族；
民數記 26 33| Hi-hut ê kiáⁿ Se-lô-hui-hap無kiáⁿ，只有cha-bó͘-kiáⁿ；Se-lô-hui-hap cha-bó͘-kiáⁿ ê名，就是Má-la̍h、挪亞、Hat-la̍h、Bi̍t-ka、Tek-sat。
民數記 26 34| Chiah-ê是Má-ná-se ê ta̍k族；in計算ê，共五萬兩千七百名。
民數記 26 35| Chiah-ê是Í-hoat-liân ê kiáⁿ孫，照in ê宗族；屬Su-thê-la̍h ê，有Su-thê-la̍h族，屬Pí-kiat ê，有Pí-kiat族；屬Tha-hán ê，有Tha-hán族。
民數記 26 36| Chiah-ê是Su-thê-la̍h ê kiáⁿ孫；屬Í-lân ê，有Í-lân族。
民數記 26 37| Chiah-ê是Í-hoat-liân kiáⁿ孫ê ta̍k族；in計算ê共三萬兩千五百名。照in ê宗族，chiah-ê是約瑟ê kiáⁿ孫。
民數記 26 38| 便雅憫ê kiáⁿ孫，照in宗族；屬Pí-la̍h ê，有Pí-la̍h族；屬A-si̍t-pia̍t ê，有A-si̍t-pia̍t族；屬A-hi-lân ê，有A-hi-lân族；
民數記 26 39| 屬Su-hoán ê，有Su-hoán族；屬Hō͘-hoán ê，有Hō͘-hoán族。
民數記 26 40| Pí-la̍h ê kiáⁿ孫，是A-le̍k、Nái-bān；屬A-le̍k ê，有A-le̍k族；屬Nái-bān ê，有Nái-bān族。
民數記 26 41| 照in ê宗族，chiah-ê是便雅憫ê kiáⁿ孫；in計算ê，共四萬五千六百名。
民數記 26 42| Chiah-ê是Tàn ê kiáⁿ孫，照in ê宗族；屬Su-hâm ê，有Su-hâm族。照in ê宗族，chiah-ê是Tàn ê ta̍k族。
民數記 26 43| In計算ê，Su-hâm所有ê ta̍k族，共有六萬四千四百名。
民數記 26 44| A-siat ê kiáⁿ孫，照in ê宗族；屬Im-ná ê，有Im-ná族；屬E̍k-si-úi ê，有E̍k-si-úi族；屬Pí-lī-a ê，有Pí-lī-a族。
民數記 26 45| Pí-lī-a ê kiáⁿ孫，屬Hi-piat ê，有Hi-piat族；屬Má-kiat ê，有Má-kiat族。
民數記 26 46| A-siat ê cha-bó͘-kiáⁿ名叫Se-la̍h。
民數記 26 47| Chiah-ê是A-siat kiáⁿ孫ê ta̍k族；in計算ê，共五萬三千四百名。
民數記 26 48| Ná-hut-tha-lī ê kiáⁿ孫，照in ê宗族；屬Ngá-siat ê，有Ngá-siat族；屬Ko͘-nî ê，有Ko͘-nî族；
民數記 26 49| 屬Iâ-sek ê，有Iâ-sek族；屬Sī-léng ê，有Sī-léng族。
民數記 26 50| 照in ê宗族，chiah-ê是Ná-hut-tha-lī ê ta̍k族；in計算ê，共四萬五千四百名。
民數記 26 51| Chiah-ê lóng是以色列kiáⁿ孫，in計算ê，共有六十萬連一千七百三十名。
民數記 26 52| 耶和華吩咐摩西講：
民數記 26 53| Hit-ê地tio̍h分hō͘ chiah-ê人做產業，照in ê名額。
民數記 26 54| 人chōe-ê，tio̍h分hō͘ in khah-chōe業，人少ê，tio̍h分hō͘ in khah少；tio̍h照伊計算ê人額，用業分hō͘ ta̍k人。
民數記 26 55| 總是hit-ê地tio̍h liam-khau來分伊，ta̍k人照伊祖宗chiah-ê支派ê名，來承接chiah-ê業。
民數記 26 56| Tio̍h照所liam ê khau，看人額chōe，人額少，用產業分hō͘ in。
民數記 26 57| Chiah-ê就是利未人，照in ê宗族計算ê；屬Kek-sūn ê，有Kek-sūn族；屬Ko-hat ê，有Ko-hat族；屬Bí-la̍h-lī ê，有Bí-la̍h-lī族。
民數記 26 58| Chiah-ê是利未ê ta̍k族；有Li̍p-nî族、Hi-pek-lûn族、Má-lī族、Bó͘-sī族、Khó-la̍h族。Ko-hat生Àm-lân。
民數記 26 59| Àm-lân ê bó͘名叫Iok-kî-pia̍t，是利未ê cha-bó͘-kiáⁿ；伊ê老母tī埃及tùi利未生ê；伊tùi Àm-lân生亞倫、摩西，kap in ê大姊Bí-lī-àm。
民數記 26 60| Tùi亞倫生Ná-tap、A-PÍ-hō͘、Í-lī-a-sat、Í-tha-má。
民數記 26 61| Ná-tap A-PÍ-hō͘ tī耶和華ê面前獻別號火ê時，就死。
民數記 26 62| In中間一月日以外，計算ê ta-po͘丁，共兩萬三千；因為in tī以色列人中無算在內，因為tī以色列人中無用產業hō͘ in。
民數記 26 63| Chiah-ê就是hō͘摩西kap祭司Í-lī-a-sat所算過ê；in tī Mô͘-ap平洋，kap耶利哥相對ê約旦河邊，點算以色列人。
民數記 26 64| 前摩西kap祭司亞倫tī西奈ê曠野算以色列人，hit時所算ê，taⁿ無一個tī-teh。
民數記 26 65| 因為耶和華論到in bat講：In的確tio̍h死tī曠野；所以除Iâ-hu-nî ê kiáⁿ迦勒，kap Lùn ê kiáⁿ約書亞以外，hiah-ê人無留一人tī-teh。
民數記 27 1| 屬約瑟ê kiáⁿ Má-ná-se ê族，有Má-ná-se ê玄孫，Má-kiat ê曾孫，Ki-lia̍t ê孫，Hi-hut ê kiáⁿ，Se-lô-hui-hap ê cha-bó͘-kiáⁿ，名叫Má-la̍h、挪亞、Hat-la̍h、Bi̍t-ka、Tek-sat；
民數記 27 2| in進前來，khiā tī會幕門口，tī摩西kap祭司亞倫、Í-lī-a-sat，以及眾首領，kap會眾ê面前，講：
民數記 27 3| 阮老父死tī曠野，伊m̄是tī Khó-la̍h ê黨內，同黨聚集攻擊耶和華；是tī家己ê罪中死；伊也無kiáⁿ。
民數記 27 4| 啥事因為阮老父無kiáⁿ，就將伊ê名tùi伊ê族中除去ah？請tī阮老父ê兄弟中分業hō͘阮。
民數記 27 5| 摩西就將in ê案件排列tī耶和華ê面前。
民數記 27 6| 耶和華吩咐摩西講：
民數記 27 7| Se-lô-hui-hap ê cha-bó͘-kiáⁿ所講ê有情理；你的確tio̍h tī in老父ê兄弟中，分地hō͘ in做業，tio̍h將in老父ê產業歸hō͘ in。
民數記 27 8| 你也tio̍h吩咐以色列人講：人若死無kiáⁿ，就tio̍h將伊ê產業歸hō͘伊ê cha-bó͘-kiáⁿ。
民數記 27 9| 伊若無cha-bó͘-kiáⁿ，就tio̍h將伊ê業hō͘伊ê兄弟。
民數記 27 10| 伊若無兄弟，就tio̍h將伊ê業hō͘伊ê老父ê兄弟。
民數記 27 11| 伊ê老父若無兄弟，就tio̍h將伊ê業hō͘伊ê族中至親ê，伊就得tio̍h做業；這beh做以色列人斷定tio̍h ê例；是照耶和華所吩咐摩西ê。
民數記 27 12| 耶和華對摩西講：你上chit-ê A-pa-lîm ê山，看我賞賜以色列人ê地。
民數記 27 13| 看了後你也beh tò祖；親像你ê兄亞倫tò去一樣。
民數記 27 14| 因為lín tī Sîm ê曠野，當會眾計較ê時，違背我ê話，無tī chhèng出水ê所在，會眾ê面前，尊我做聖。(chit-ê水就是tī Sîm ê曠野，Ka-te-su ê Bí-lī-pa ê水。)
民數記 27 15| 摩西對耶和華講：賞賜活命hō͘見若有肉體ê ê上帝耶和華ah，
民數記 27 16| 願你設立一人來治理會眾，
民數記 27 17| thang tī in ê面前出去，也tī in ê面前入來，thang chhōa in出去，也chhōa in入來，免得耶和華ê會眾親像無牧者ê羊群一般。
民數記 27 18| 耶和華對摩西講：Lùn ê kiáⁿ約書亞，伊ê心內有聖神，你chhōa伊來，按手tī伊ê頂面；
民數記 27 19| hō͘伊khiā tī祭司Í-lī-a-sat kap全會ê面前，用職任命令伊。
民數記 27 20| Koh對你ê榮光分hō͘伊，hō͘以色列ê全會lóng聽thàn伊。
民數記 27 21| 伊tio̍h khiā tī祭司Í-lī-a-sat ê面前，Í-lī-a-sat tio̍h照O͘-lêng ê判斷，tī耶和華ê面前，替伊求問；伊kap以色列全會ê眾人lóng tio̍h照伊ê命令來出，照伊ê命令來入。
民數記 27 22| 摩西就照耶和華所命令伊ê來行；伊chhōa約書亞來，hō͘伊khiā tī祭司Í-lī-a-sat kap全會ê面前，
民數記 27 23| 按手tī伊ê頂面，用命令交託伊；是照耶和華託摩西所講ê話。
民數記 28 1| 耶和華吩咐摩西講：
民數記 28 2| 你tio̍h命令以色列人講：我ê禮物，就是獻hō͘我做芳芳chiah-ê火祭ê食物，lín tio̍h照日期謹慎獻hō͘我。
民數記 28 3| Koh tio̍h kā in講：Lín tio̍h獻hō͘耶和華ê火祭，就是無瑕疵未滿年ê羊káng-á，ta̍k日兩隻，做久長獻ê燒祭。
民數記 28 4| 早起時tio̍h獻羊á一隻，黃昏ê時tio̍h獻羊á一隻。
民數記 28 5| Koh tio̍h獻幼麵粉i-hoat十份一，kap調和khoeh好ê油一him四份一做素祭。
民數記 28 6| 這是tī西奈山所定tio̍h做常常獻ê燒祭，就是獻hō͘耶和華做芳芳ê火祭。
民數記 28 7| 為tio̍h chit一隻羊á，tio̍h續獻灌奠ê酒，一him四份ê一份；tī聖所中，你tio̍h將厚ê酒獻hō͘耶和華做灌奠。
民數記 28 8| Ê-hng時，tio̍h獻第二隻羊á，親像早起時ê素祭，也親像伊ê灌奠，獻伊hō͘耶和華做芳芳ê火祭。
民數記 28 9| Koh tī安歇日tio̍h獻兩隻無瑕疵未滿年ê羊káng-á，也用調和油ê幼麵粉i-hoat十份ê兩份，做素祭，kap伊ê灌奠。
民數記 28 10| 這是ta̍k-ê安歇日ê燒祭，hit-ê常常獻ê燒祭，kap伊ê灌奠以外。
民數記 28 11| Ta̍k月ê初一，lín tio̍h獻燒祭hō͘耶和華，就是牛káng-á兩隻，綿羊káng一隻，無瑕疵未滿年ê羊káng-á七隻。
